country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,2642.8194800000024,2611.997599999999,2542.507200000008,2281.3799199999953,2558.3848899999834,2458.554259999985,2302.1953700000026,2589.4857399999905,2528.1087899999734,2364.5464299999935,2444.7916700000037,2286.2909699999886,2512.022240000016,2409.3025699999857,2273.8622299999934,2409.751749999995
Belgium,2151.2321400000014,1918.921559999996,2043.396129999996,1647.6354300000003,1881.8954600000006,1716.9419900000003,1940.75581,2004.0187200000034,1972.055959999993,1811.5978200000018,1598.719930000001,1825.0638699999968,1822.6946899999973,1811.2463799999969,1821.2722999999964,2029.2907399999986
Greece,1869.6812600000037,2125.458959999995,1504.006090000002,2148.692240000002,1985.733020000002,1874.1794900000025,1919.8117199999992,1820.0292000000052,1877.0504300000039,1856.5577100000007,1839.3630400000015,1971.9375700000041,2027.0378700000047,1960.1416799999995,1440.9700600000044,1851.3326199999967
Finland,1844.1745300000018,1675.3500699999993,1444.8680599999996,1714.3370999999995,1583.9909599999992,1872.0172100000007,1607.7378400000002,1736.2241500000016,1718.3809800000001,1544.913150000002,1455.074689999992,1774.7658199999944,1681.4597600000013,1689.5547699999995,1620.0262700000058,1935.7177599999945
Lithuania,1917.9303100000056,1733.5575399999975,2021.816510000007,1836.9398700000072,1863.5594900000053,1735.9854300000002,1693.926420000001,1988.3997599999973,2126.5680900000125,1703.29334,1704.5585000000035,2056.9812799999954,1862.069830000001,1677.0831399999968,1744.6298200000035,2026.4668500000068
Luxembourg,1238.7423500000014,1157.6862199999957,1299.6654800000035,982.2988999999974,1145.8564100000024,940.714339999998,1134.2562400000024,1281.4519400000022,1175.7529199999992,1059.3913100000013,958.1304100000043,1026.2379000000014,1113.1897700000038,1009.0161700000014,1020.114570000002,1167.1564400000016
Latvia,1350.3153199999954,1190.5866000000003,1358.6199799999954,1281.5904399999986,1326.472979999997,1245.7558399999978,1236.530930000001,1428.8286199999952,1526.8655800000022,1207.0015100000003,1162.3484999999996,1527.0978999999938,1337.462170000005,1221.9068600000053,1229.334130000002,1502.3894399999963
Slovakia,1600.2951300000225,1494.073060000009,1553.61629000002,1354.5417200000152,1548.9383700000176,1415.9113600000105,1280.8742900000175,1548.7955200000204,1549.9840600000198,1364.6016000000218,1438.3563700000175,1319.4735500000138,1486.4402900000243,1450.3769100000184,1441.6773200000193,1459.8462300000192
Netherlands,2516.0859300000066,2214.4405299999985,2236.3612600000024,1916.2841600000008,2223.6166199999975,2157.8601799999983,2239.4646099999977,2365.5018700000032,2394.9167199999974,2158.47670000001,1852.9730199999963,2214.238300000005,2105.5394399999964,2156.4183599999997,2118.415559999996,2339.4690100000003
Italy,1509.9982299999951,1721.3966700000005,1490.8977699999953,1572.463410000003,1547.3589900000052,1430.6383400000002,1322.8091000000034,1445.171380000003,1450.26969,1535.5152399999995,1617.9316400000037,1301.006169999997,1504.7286499999977,1433.8973100000003,1361.241970000008,1233.6642899999958
Germany,1996.775930000008,1716.432010000007,1900.8133999999977,1535.7164199999997,1822.9503599999985,1673.8090000000004,1723.7303000000027,2043.7306999999962,1932.1676599999996,1677.4747799999975,1552.707739999995,1863.9754000000057,1783.7105700000009,1670.1713699999991,1701.345490000009,1950.565710000009
France,2185.34241,2150.338339999991,2258.7387000000003,1887.1607199999937,2021.7164499999967,1894.2693800000036,2043.4455300000025,2189.5090499999988,2067.8689299999937,1979.2767999999962,1920.5758500000027,1836.065989999997,2039.772509999999,1984.7837900000045,1949.1134000000036,2099.1915000000017
Slovenia,847.6713799999917,1266.5578499999901,1256.875179999996,1404.398169999978,1308.7235099999837,1243.7566399999955,1258.5243499999872,1202.0707899999866,1186.7314799999856,1309.8608599999855,1276.5963199999887,1272.7151099999871,1423.0209099999834,1383.8396999999857,1104.9819199999897,1290.5285899999892
Croatia,1479.4811700000002,1773.8235100000063,1641.3385200000002,1812.102740000011,1614.4365299999956,1559.788789999998,1480.6155900000008,1536.3835100000026,1597.912399999996,1668.257429999999,1554.9546500000029,1555.222789999998,1692.1169399999997,1512.5254800000046,1420.7352199999987,1492.286139999996
