country,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Latvia,Hydropower,1513.0,1523.0,1529.0,1537.0,1536.0,1536.0,1536.0,1536.0,1536.0,1536.0,1576.0,1576.0,1576.0,1589.0,1590.0,1589.0
Latvia,Wind,2.0,2.0,22.0,26.0,26.0,26.0,26.0,26.0,28.0,29.0,30.0,36.0,59.0,67.0,69.0,69.0
Latvia,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
Lithuania,Hydropower,863.0,863.0,863.0,869.0,870.0,877.0,877.0,875.0,875.0,876.0,876.0,876.0,876.0,876.0,877.0,877.0
Lithuania,Wind,0.0,0.0,0.0,0.0,1.0,1.0,31.0,47.0,54.0,98.0,133.0,202.0,275.0,279.0,288.0,436.0
Lithuania,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,7.0,68.0,69.0,69.0
Luxembourg,Hydropower,1133.0,1134.0,1134.0,1134.0,1134.0,1134.0,1134.0,1134.0,1134.0,1134.0,1134.0,1134.0,1134.0,1134.0,1330.0,1330.0
Luxembourg,Wind,14.0,14.0,14.0,21.0,35.0,35.0,35.0,35.0,43.0,43.0,44.0,45.0,58.0,58.0,58.0,64.0
Luxembourg,Solar,0.0,0.0,2.0,14.0,24.0,24.0,24.0,24.0,25.0,26.0,29.0,41.0,75.0,95.0,110.0,116.0
Netherlands,Hydropower,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
Netherlands,Wind,447.0,485.0,672.0,905.0,1075.0,1224.0,1558.0,1748.0,2149.0,2222.0,2237.0,2316.0,2433.0,2713.0,2865.0,3391.0
Netherlands,Solar,13.0,21.0,26.0,46.0,50.0,51.0,53.0,54.0,59.0,69.0,90.0,149.0,369.0,746.0,1048.0,1515.0
Poland,Hydropower,2183.0,2234.0,2207.0,2273.0,2282.0,2321.0,2331.0,2328.0,2335.0,2338.0,2342.0,2346.0,2351.0,2355.0,2364.0,2370.0
Poland,Wind,4.0,19.0,32.0,35.0,40.0,121.0,172.0,306.0,526.0,709.0,1108.0,1800.0,2564.0,3429.0,3836.0,4886.0
Poland,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,27.0,108.0
Portugal,Hydropower,4535.0,4560.0,4583.0,4583.0,4831.0,5017.0,5053.0,5061.0,5058.0,5091.0,5106.0,5535.0,5712.0,5661.0,5715.0,6168.0
