,country,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
3,Albania,Hydropower,Electricity capacity (MW),,0.0,0.0,0.0,0.0,0.0,0.0,0.0013764624913970014,0.0013745704467353903,0.0013726835964309458,0.010966415352981596,0.022372881355932295,0.07957559681697624,0.09398034398034394,-0.031443009545199296,0.04231884057971014,0.1184649610678532,0.0031327697662855147
4,Albania,Wind,Electricity capacity (MW),,,,,,,,,,,,,,,,,,
5,Albania,Solar,Electricity capacity (MW),,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999998,0.3333333333333335,0.4999999999999998,0.16666666666666674,0.14285714285714302,0.125,0.22222222222222232,0.2727272727272725,0.14285714285714302
6,Austria,Hydropower,Electricity capacity (MW),,0.00232498062516151,-0.011683848797250818,0.0035639777468705613,0.002858380251191006,0.004664017965106293,0.0014614855570838081,0.013820928835093227,0.038357324301439455,0.014922938921960283,0.02089024586212429,0.021564615142452448,0.007395993836671888,0.005582747017436551,0.010951403148528494,0.004363198675994884,0.025316455696202445,0.03185769596026011
7,Austria,Wind,Electricity capacity (MW),,0.3400000000000001,0.6268656716417911,1.9541284403669725,0.8043478260869565,0.3390705679862307,0.20179948586118246,0.03529411764705892,0.02066115702479343,0.006072874493927127,-0.013078470824949728,0.10091743119266061,0.21851851851851856,0.25,0.2826747720364742,0.17962085308056874,0.09682603455202887,0.07179487179487176
8,Austria,Solar,Electricity capacity (MW),,0.3999999999999999,0.2857142857142858,1.5555555555555554,0.17391304347826098,0.11111111111111116,0.19999999999999996,0.11111111111111116,0.2250000000000001,0.44897959183673475,1.1690140845070425,1.0584415584415585,0.1451104100946372,0.7245179063360883,0.2539936102236422,0.1936305732484076,0.16969050160085386,0.281021897810219
9,Belarus,Hydropower,Electricity capacity (MW),,0.019607843137255054,0.07692307692307687,0.0,0.026785714285714413,0.026086956521739202,0.008474576271186418,0.04201680672268915,0.040322580645161255,0.03100775193798455,0.03759398496240607,0.03623188405797095,1.2097902097902096,0.015822784810126667,0.02180685358255441,0.021341463414634276,1.1970149253731344,0.2961956521739133
10,Belarus,Wind,Electricity capacity (MW),,1.4,0.8333333333333335,0.0,0.0,0.0,0.0,0.7272727272727271,0.0,0.0,0.0,0.05263157894736836,0.0,0.0,0.5,13.4,0.5833333333333333,0.21052631578947345
11,Belarus,Solar,Electricity capacity (MW),,,,,,,,,,,,,,inf,7.0,2.25,2.8846153846153846,2.021782178217822
12,Belgium,Hydropower,Electricity capacity (MW),,0.0056617126680820196,0.0,-0.0007037297677692234,0.0035211267605634866,-0.009122807017543866,0.0014164305949009304,0.0021216407355020284,0.0007057163020465218,-0.0007052186177715081,0.0056457304163726185,0.00070175438596487,0.0007012622720896644,0.0014015416958654825,0.0013995801259623075,-0.0062893081761006275,0.0021097046413502962,0.04280701754385974
13,Belgium,Wind,Electricity capacity (MW),,0.8571428571428572,0.1923076923076923,1.161290322580645,0.4328358208955223,0.7395833333333333,0.2694610778443114,0.3018867924528301,0.17391304347826098,0.8765432098765431,0.5,0.17214912280701755,0.28157156220767066,0.30781021897810223,0.07702182284980741,0.12763642016893817,0.03860294117647056,0.25530973451327443
14,Belgium,Solar,Electricity capacity (MW),,,inf,0.0,0.0,1.0,0.0,9.0,2.1,5.225806451612903,1.3419689119170983,0.538716814159292,0.8554996405463695,0.13211933359163108,0.035934291581108724,0.031384208787578416,0.05701473414477909,0.08212121212121204
18,Bulgaria,Hydropower,Electricity capacity (MW),,-0.09308510638297873,0.1425219941348974,0.29106776180698146,0.1324055666003976,0.0,0.0,0.00983146067415741,0.037552155771905404,0.005697050938337833,0.015661446184605188,0.019685039370078705,0.023487773487773422,0.006916064130776389,0.0049953168904153245,0.0,0.0012426219322771992,0.0
19,Bulgaria,Wind,Electricity capacity (MW),,,,,inf,7.0,2.375,0.11111111111111116,2.8,1.9210526315789473,0.4654654654654655,0.10860655737704916,0.25138632162661745,0.008862629246676468,0.02342606149341142,0.0,0.0,0.0
20,Bulgaria,Solar,Electricity capacity (MW),,,,,,,,,,inf,11.5,5.16,5.577922077922078,0.006910167818361401,0.00588235294117645,0.0029239766081872176,-0.0009718172983479434,0.0019455252918287869
21,Croatia,Hydropower,Electricity capacity (MW),,0.0,-0.006253006253006288,0.004840271055179146,0.00337186897880537,-0.011041766682669207,0.0,0.00728155339805836,0.0,0.008192771084337247,0.02342256214149141,0.0,0.0,0.022886501634750145,0.00136986301369868,0.0068399452804377425,-0.0013586956521739468,0.0
22,Croatia,Wind,Electricity capacity (MW),,,,,inf,0.0,1.8333333333333335,0.0,0.0,3.117647058823529,0.12857142857142856,0.6455696202531647,0.3846153846153846,0.4111111111111112,0.33464566929133865,0.23303834808259594,0.1555023923444976,0.11180124223602483
23,Croatia,Solar,Electricity capacity (MW),,,,,,,,,,,,inf,12.333333333333334,3.75,0.736842105263158,0.4545454545454546,0.16666666666666674,0.03571428571428581
24,Cyprus,Hydropower,Electricity capacity (MW),,,,,,,,,,,,,,,,,,
25,Cyprus,Wind,Electricity capacity (MW),,,,,,,,,,,inf,0.6341463414634145,0.09701492537313428,0.0,0.0,0.0748299319727892,0.0,0.0
26,Cyprus,Solar,Electricity capacity (MW),,,,,,inf,0.0,0.0,1.0,1.0,0.75,0.4285714285714286,0.7,1.0588235294117645,0.8285714285714285,0.1875,0.10526315789473695,0.2488095238095238
