CountryID,country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
372,Ireland,12.461,12.735,13.366,13.775,14.124,14.675,14.634,15.577,16.437,16.701,16.997,17.371,17.602999999999994,17.428,18.086,18.574,18.461,19.32,20.343,21.537,23.347,23.751,24.461,25.001,26.286,28.623,30.621,33.475,35.951,39.296,42.459,44.227,46.226000000000006,46.805,48.975,50.878,52.56,54.107,50.918,47.728,47.969,49.024,48.879,49.639,53.723,67.256,70.325
380,Italy,17.733,17.930999999999994,18.466,19.651,20.604,20.061,21.385,21.837,22.46,23.718000000000004,24.456,24.594,24.635,24.87,25.627,26.31,27.039,27.888,29.051,30.03,30.619,31.076,31.316,31.028,31.682,32.594,33.028,33.661,34.224000000000004,34.741,35.959,36.461,36.364,36.203,36.557,36.708,37.272,37.673,37.159,35.039,35.578,35.765,34.772,34.209,34.295,34.684,35.055
412,Kosovo,,,,,,,,,,,,,,,,,,,,,4.807,3.451,2.466,1.784,1.739,1.868,2.055,2.266,2.147,1.709,1.868,2.424,2.529,2.42,2.4330000000000003,2.557,2.6630000000000003,2.897,3.114,3.236,3.354,3.463,3.564,3.69,3.737,3.883,4.0280000000000005
428,Latvia,,,,,,,,,,,,,,,,,,,,,9.67,8.713,5.738,4.956,5.065,5.0939999999999985,5.277,5.81,6.247000000000001,6.47,6.8889999999999985,7.4129999999999985,8.029,8.806000000000003,9.653,10.813,12.244000000000002,13.63,13.308,11.532,11.216,12.082,12.728,13.22,13.638,14.19,14.647
440,Lithuania,,,,,,,,,,,,,,,,,,,,,9.014,8.499,6.709,5.647,5.126,5.327000000000001,5.6370000000000005,6.146,6.65,6.6229999999999976,6.931,7.443,8.013,8.936,9.615,10.472,11.386,12.817,13.34,11.529000000000002,11.886,12.784,13.46,14.116,14.791,15.246,15.73
442,Luxembourg,33.927,34.572,36.546,39.235,40.536,37.574,38.247,38.587,39.925,40.669,40.87,40.562,40.985,42.18600000000001,44.736,45.849,50.183,51.826,55.756,60.637,63.18,67.831,68.175,70.069,71.73,74.86399999999998,74.831,77.97800000000002,81.554,87.35700000000001,93.505,94.981,97.825,98.619,101.164,103.001,106.54,113.212,109.371,102.249,104.772,104.942,102.127,103.463,107.153,108.192,109.783
470,Malta,3.539,3.626,3.834,3.987,4.376,5.212999999999999,6.073,6.775,7.482,8.207,8.716000000000001,8.926,9.045,8.904,8.901,9.046,9.314,9.614,10.336,11.088,11.687,12.314,12.783,13.243,13.872,14.624,15.042,15.691,16.35,16.983,18.002,17.999000000000006,18.436,18.816,18.815,19.442,19.711,20.409,21.0,20.388,21.005,21.188,21.615,22.477,24.18,25.764,27.075
499,Montenegro,,,,,,,,,,,,,,,,,,,,,6.488,5.78,4.4110000000000005,2.792,2.8280000000000003,3.2310000000000003,4.127,4.409,4.626,4.253,4.879,4.936,5.0280000000000005,5.147,5.3660000000000005,5.579,6.0429999999999975,6.437,6.882999999999999,6.4670000000000005,6.627999999999999,6.829,6.634,6.8610000000000015,6.977,7.207999999999997,7.415
528,Netherlands,24.075,24.839,25.186,26.366,27.222,27.015,28.083,28.417,28.89,29.297,30.079,29.685,29.17,29.629,30.38300000000001,31.003,31.688,32.109,33.009,34.248000000000005,35.45,36.076,36.446,36.658,37.495,38.417,39.543,41.0,42.61,44.50899999999999,46.131,46.841,46.621,46.492,47.185,47.969,49.43600000000001,51.057,51.731,49.608,50.135,50.804,50.111,49.865,50.424,51.415,52.4
578,Norway,32.265,33.84,35.386,36.737,37.939,39.597,41.701,43.255,44.764,46.565,48.533,49.153,49.117,50.908,53.81100000000001,56.596,58.655,59.432,59.01300000000001,59.341,60.18600000000001,61.72,63.581,65.025,67.921,70.332,73.42699999999998,76.834,78.368,79.472,81.557,82.82,83.588,83.912,86.70100000000002,88.321,89.649,91.414,90.857,88.288,87.831,87.57799999999996,88.806,88.583,89.221,89.93799999999996,89.97
