,countryID,country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,8,Albania,1.6880000000000002,1.715,1.743,1.7719999999999998,1.801,1.8330000000000002,1.8659999999999999,1.896,1.936,1.9709999999999999,1.993,2.066,2.086,2.069,2.002,1.992,2.053,1.984,1.909,2.061,1.84,1.327,1.245,1.386,1.524,1.746,1.9140000000000001,1.706,1.85,2.081,2.221,2.405,2.516,2.662,2.821,2.995,3.198,3.423,3.719,3.8819999999999997,4.056,4.178999999999999,4.248,4.292,4.365,4.459,4.604
1,20,Andorra,43.119,42.858999999999995,44.053999999999995,45.231,45.688,44.163000000000004,44.083,43.96,43.326,41.998000000000005,41.43899999999999,39.803000000000004,38.635999999999996,37.633,36.655,35.913000000000004,35.554,36.025,36.375,36.666,36.614000000000004,36.114000000000004,35.077,33.529,33.394,33.684,34.971,38.162,39.495,40.968,40.799,41.418,42.394,45.516999999999996,47.03,48.82899999999999,49.705,48.708,43.898,41.977,39.734,38.203,38.188,39.102,40.783,41.763000000000005,42.678999999999995
2,40,Austria,19.471,20.375,21.552,22.528000000000002,23.357,23.238000000000003,24.291999999999998,25.54,25.515,26.916999999999998,27.412,27.391,27.951,28.778000000000002,28.776999999999997,29.467,30.104,30.456,31.38,32.482,33.73,34.672,35.135,35.046,35.639,36.393,37.137,37.885,39.194,40.55,41.821999999999996,42.236999999999995,42.743,42.848,43.788000000000004,44.526,45.845,47.351000000000006,47.93,45.935,46.599,47.625,47.655,47.379,47.378,47.583999999999996,48.103
3,112,Belarus,,,,,,,,,,,,,,,,,,,,,3.1039999999999996,3.0580000000000003,2.765,2.5610000000000004,2.267,2.037,2.1,2.3480000000000003,2.557,2.657,2.826,2.978,3.148,3.391,3.804,4.187,4.628,5.045,5.579,5.6,6.042000000000001,6.38,6.489,6.546,6.656000000000001,6.4,6.235
4,56,Belgium,20.154,20.843000000000004,21.872,23.144000000000002,24.051,23.671999999999997,24.951,25.051,25.711,26.266,27.401999999999997,27.293000000000003,27.43,27.493000000000002,28.147,28.581999999999997,29.068,29.698,31.048000000000002,32.056999999999995,32.976,33.47,33.852,33.391999999999996,34.343,35.056999999999995,35.539,36.802,37.479,38.747,40.05,40.231,40.766,40.868,42.106,42.716,43.486999999999995,44.658,44.668,43.335,44.205,44.696000000000005,44.516000000000005,44.333999999999996,44.662,45.013000000000005,45.39
5,100,Bulgaria,1.901,2.02,2.162,2.326,2.489,2.696,2.861,3.03,3.19,3.392,3.576,3.74,3.8160000000000003,3.937,4.064,4.17,4.346,4.6160000000000005,5.135,4.988,4.562,4.212,3.947,3.9339999999999997,4.053999999999999,4.217,3.861,3.8560000000000003,4.026,3.8169999999999997,4.041,4.228,4.516,4.787,5.135,5.542999999999999,5.97,6.457999999999999,6.898,6.699,6.835,7.0120000000000005,7.058,7.162000000000001,7.301,7.6129999999999995,7.9639999999999995
6,191,Croatia,,,,,,,,,,,,,,,,,,,,,11.431,9.051,8.037,7.4479999999999995,7.952000000000001,8.57,9.157,9.857000000000001,10.131,10.116,10.564,10.975999999999999,11.585,12.248,12.762,13.311,13.972000000000001,14.72,15.056,13.981,13.823,13.825,13.568,13.539000000000001,13.591,13.98,14.472999999999999
7,196,Cyprus,7.524,8.4,8.878,9.003,9.127,7.6610000000000005,9.117,10.562999999999999,11.323,12.350999999999999,12.944,13.173,13.845999999999998,14.394,15.453,15.99,16.405,17.373,18.613,19.828,20.925,20.518,21.875,21.493000000000002,22.265,24.035,23.98,24.246,25.195999999999998,26.124000000000002,27.333000000000002,28.006,28.619,28.991,29.894000000000002,30.564,31.414,32.235,32.65,31.221999999999998,30.816999999999997,30.136999999999997,28.773000000000003,27.129,27.044,27.758000000000003,28.555999999999997
8,208,Denmark,30.526999999999997,31.25,32.291,33.434,32.9,32.284,34.071999999999996,34.602,35.285,36.586,36.372,36.12,37.465,38.466,40.096,41.716,43.758,43.847,43.797,44.012,44.567,45.068000000000005,45.801,45.637,47.881,49.129,50.341,51.757,52.678999999999995,54.013999999999996,55.833999999999996,56.117,56.224,56.294,57.628,58.768,60.81399999999999,61.07899999999999,60.458999999999996,57.193999999999996,57.967,58.446999999999996,58.288999999999994,58.549,59.223,59.913000000000004,60.842
9,233,Estonia,,,,,,,,,,,,,,,,,,,,,9.597000000000001,8.926,7.164,6.901,6.907,7.3229999999999995,7.796,8.766,9.148,9.086,10.08,10.775,11.504000000000001,12.446,13.32,14.681,16.265,17.593,16.694000000000003,14.277000000000001,14.64,15.796,16.52,16.883,17.413,17.746,18.152
